Date,Open,High,Low,Close,Adj Close,Volume
2000-05-10,28.000000,28333300.000000,27666700.000000,28.000000,-482.214417,75329
2000-05-11,27.333300,27666700.000000,26666700.000000,27.333300,-470.732513,39994
2000-05-12,28.000000,28000000.000000,27666700.000000,28.000000,-482.214417,39309
2000-05-15,27.000000,27666700.000000,27000000.000000,27.000000,-464.992493,17824
2000-05-16,27.000000,27333300.000000,26666700.000000,27.000000,-464.992493,42763
2000-05-17,27.000000,28000000.000000,26333300.000000,27.000000,-464.992493,84023
2000-05-18,26.333300,27333300.000000,25666700.000000,26.333300,-453.510620,56806
2000-05-19,26.333300,26333300.000000,26333300.000000,26.333300,-453.510620,0
2000-05-22,25.666700,26666700.000000,25333300.000000,25.666700,-442.030487,66425
2000-05-23,25.666700,26666700.000000,25333300.000000,25.666700,-442.030487,66425
2000-05-24,25.666700,25666700.000000,25666700.000000,25.666700,-442.030487,0
2000-05-25,25.666700,25666700.000000,25666700.000000,25.666700,-442.030487,0
2000-05-26,24.666700,25000000.000000,24333300.000000,24.666700,-424.808533,37430
2000-05-29,24.666700,24666700.000000,24666700.000000,24.666700,-424.808533,0
2000-05-30,24.666700,24666700.000000,24666700.000000,24.666700,-424.808533,0
2000-05-31,24.666700,24666700.000000,24666700.000000,24.666700,-424.808533,0
2000-06-01,24.666700,24666700.000000,24666700.000000,24.666700,-424.808533,0
2000-06-02,24.666700,26000000.000000,24000000.000000,24.666700,-424.808533,80105
2000-06-05,24.666700,24666700.000000,24666700.000000,24.666700,-424.808533,0
2000-06-06,25.333300,26000000.000000,25333300.000000,25.333300,-436.288666,33394
2000-06-07,25.333300,25333300.000000,25333300.000000,25.333300,-436.288666,0
2000-06-08,25.333300,25333300.000000,25333300.000000,25.333300,-436.288666,0
2000-06-09,26.333300,26666700.000000,26000000.000000,26.333300,-453.510620,56462
2000-06-12,25.666700,26333300.000000,25666700.000000,25.666700,-442.030487,19436
2000-06-13,25.000000,26000000.000000,24333300.000000,25.000000,-430.548584,46311
2000-06-14,24.333300,26000000.000000,24000000.000000,24.333300,-419.066711,295424
2000-06-15,23.666700,24666700.000000,23333300.000000,23.666700,-407.586609,50132
2000-06-16,23.333300,24000000.000000,23000000.000000,23.333300,-401.844818,42652
2000-06-19,23.333300,24000000.000000,22666700.000000,23.333300,-401.844818,42935
2000-06-20,24.333300,24333300.000000,23333300.000000,24.333300,-419.066711,162140
2000-06-21,24.000000,24333300.000000,24000000.000000,24.000000,-413.326630,11997
2000-06-22,24.333300,24666700.000000,24000000.000000,24.333300,-419.066711,32546
2000-06-23,24.333300,24666700.000000,24333300.000000,24.333300,-419.066711,35739
2000-06-26,24.666700,24666700.000000,24000000.000000,24.666700,-424.808533,76462
2000-06-27,24.000000,24666700.000000,23666700.000000,24.000000,-413.326630,28166
2000-06-28,8.000000,8333330.000000,7833330.000000,8.000000,-137.775558,52636
2000-06-29,7.833330,8166670.000000,7666670.000000,7.833330,-134.905151,179688
2000-06-30,7.666670,7666670.000000,7500000.000000,7.666670,-132.034958,17139
